ID,Name,Sex,Age,NOC,Games,Year,Season,City,Sport,Event,Medal,Last_Name,Order,Start,End
69275,Gustav Lexau,0,,GER,1900 Summer,1900,Summer,Paris,Swimming,Swimming Men's 200 metres Team Swimming,Gold,Lexau,3631,1900,1900
70206,Helga Lindner Hrtel,1,21,GER,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 200 metres Butterfly,,Hrtel,2679,1968,1972
70206,Helga Lindner Hrtel,1,17,GER,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 100 metres Butterfly,,Hrtel,2679,1968,1972
70206,Helga Lindner Hrtel,1,17,GER,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 4 x 100 metres Medley Relay,,Hrtel,2679,1968,1972
70206,Helga Lindner Hrtel,1,17,GER,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 200 metres Butterfly,Silver,Hrtel,2679,1968,1972
70995,Sven Lodziewski,0,23,GER,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,Lodziewski,3703,1988,1988
70995,Sven Lodziewski,0,23,GER,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Freestyle,,Lodziewski,3703,1988,1988
71009,Horst Lffler,0,22,GER,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 100 metres Freestyle,,Lffler,3633,1964,1964
71009,Horst Lffler,0,22,GER,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,Lffler,3633,1964,1964
71073,Magdalena Maria Leni Lohmar Henze,1,21,GER,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,Henze,2527,1936,1936
71073,Magdalena Maria Leni Lohmar Henze,1,21,GER,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Women's 100 metres Freestyle,,Henze,2527,1936,1936
72077,Alexander Lderitz,0,22,GER,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,Lderitz,3545,1996,1996
72077,Alexander Lderitz,0,22,GER,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 50 metres Freestyle,,Lderitz,3545,1996,1996
72132,Ernst Lhrsen,0,,GER,1900 Summer,1900,Summer,Paris,Swimming,Swimming Men's 200 metres Team Swimming,Gold,Lhrsen,3634,1900,1900
72446,Thomas Peter Lurz,0,32,GER,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 10 kilometres Open Water,Silver,Lurz,3765,2004,2012
72446,Thomas Peter Lurz,0,28,GER,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 10 kilometres Open Water,Bronze,Lurz,3765,2004,2012
72446,Thomas Peter Lurz,0,24,GER,2004 Summer,2004,Summer,Athina,Swimming,"Swimming Men's 1,500 metres Freestyle",,Lurz,3765,2004,2012
72524,Wilhelm Bernhard Adolf Emil Willy Ltzow,0,19,GER,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 400 metres Breaststroke,,Ltzow,3740,1912,1912
72524,Wilhelm Bernhard Adolf Emil Willy Ltzow,0,19,GER,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 200 metres Breaststroke,Silver,Ltzow,3740,1912,1912
74092,Kurt Paul Malisch,0,30,GER,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 200 metres Breaststroke,Bronze,Malisch,3858,1912,1912
74092,Kurt Paul Malisch,0,30,GER,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 400 metres Breaststroke,,Malisch,3858,1912,1912
76659,Roland Matthes,0,25,GER,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 100 metres Butterfly,,Matthes,3981,1968,1976
76659,Roland Matthes,0,25,GER,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 100 metres Backstroke,Bronze,Matthes,3981,1968,1976
76659,Roland Matthes,0,21,GER,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,Matthes,3981,1968,1976
76659,Roland Matthes,0,21,GER,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 100 metres Backstroke,Gold,Matthes,3981,1968,1976
76659,Roland Matthes,0,21,GER,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 200 metres Backstroke,Gold,Matthes,3981,1968,1976
76659,Roland Matthes,0,21,GER,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,Matthes,3981,1968,1976
76659,Roland Matthes,0,21,GER,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 100 metres Butterfly,,Matthes,3981,1968,1976
76659,Roland Matthes,0,17,GER,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,Matthes,3981,1968,1976
76659,Roland Matthes,0,17,GER,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 200 metres Backstroke,Gold,Matthes,3981,1968,1976
76659,Roland Matthes,0,17,GER,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 100 metres Backstroke,Gold,Matthes,3981,1968,1976
78135,Folkert Meeuw,0,25,GER,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 200 metres Butterfly,,Meeuw,4071,1968,1972
78135,Folkert Meeuw,0,25,GER,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,Meeuw,4071,1968,1972
78135,Folkert Meeuw,0,21,GER,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 200 metres Butterfly,,Meeuw,4071,1968,1972
78135,Folkert Meeuw,0,21,GER,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,,Meeuw,4071,1968,1972
78136,Helge Folkert Meeuw,0,27,GER,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Backstroke,,Meeuw,4071,2004,2012
78136,Helge Folkert Meeuw,0,27,GER,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,,Meeuw,4071,2004,2012
78136,Helge Folkert Meeuw,0,23,GER,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Backstroke,,Meeuw,4071,2004,2012
78136,Helge Folkert Meeuw,0,23,GER,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Backstroke,,Meeuw,4071,2004,2012
78136,Helge Folkert Meeuw,0,19,GER,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Butterfly,,Meeuw,4071,2004,2012
78136,Helge Folkert Meeuw,0,19,GER,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,Meeuw,4071,2004,2012
78136,Helge Folkert Meeuw,0,19,GER,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Butterfly,,Meeuw,4071,2004,2012
78299,Katrin Meiner,1,27,GER,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 100 metres Medley Relay,,Meiner,4080,1988,2000
78299,Katrin Meiner,1,27,GER,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,,Meiner,4080,1988,2000
78299,Katrin Meiner,1,27,GER,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,,Meiner,4080,1988,2000
78299,Katrin Meiner,1,15,GER,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,Meiner,4080,1988,2000
78299,Katrin Meiner,1,15,GER,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,Meiner,4080,1988,2000
78299,Katrin Meiner,1,15,GER,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 50 metres Freestyle,Bronze,Meiner,4080,1988,2000
79121,Caren Metschuck Mahn,1,16,GER,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 100 metres Butterfly,Gold,Mahn,3830,1980,1980
79121,Caren Metschuck Mahn,1,16,GER,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,Mahn,3830,1980,1980
79121,Caren Metschuck Mahn,1,16,GER,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,Mahn,3830,1980,1980
