ID,FirstYear,LastYear
10600,1968,1968
10618,1988,1992
10630,1948,1948
10637,1988,1988
10643,1992,2000
10674,2008,2012
10682,2008,2008
10692,1928,1928
10697,2004,2004
10701,2000,2000
10715,1948,1952
10733,1988,1988
10737,2012,2016
10743,1906,1906
10747,2004,2004
10793,1976,1976
10795,1936,1936
10804,1960,1964
10825,1996,1996
10920,1900,1900
10921,1948,1948
10937,1996,1996
10967,1928,1936
10968,2000,2000
10977,2008,2012
10980,2016,2016
11081,1968,1972
11098,1964,1968
11118,1988,1988
11147,1984,1988
11149,1976,1976
11158,2012,2012
11228,1924,1924
11232,2000,2012
11248,1960,1964
11254,2008,2016
11268,1992,1992
11277,1992,1992
11286,1980,1980
11298,1924,1924
11307,2000,2000
11315,2000,2000
11319,2012,2012
11324,2012,2012
11337,1992,1992
11342,1908,1908
11351,2008,2016
11390,1928,1928
11399,1952,1952
11428,1988,1988
11449,1980,1980
11465,2000,2000
11510,2016,2016
11560,1964,1968
11568,1988,1992
11608,2000,2008
11609,1988,1988
11629,1912,1912
11633,2012,2012
11642,1984,1992
11658,1988,1988
11694,1920,1920
11719,1936,1936
11728,1984,1984
11743,1920,1920
11764,2000,2000
11818,2000,2004
11819,1976,1976
11833,1980,1980
11841,2000,2004
11843,1928,1928
11844,1924,1924
11876,1992,1996
11880,2000,2004
11887,1968,1968
11909,1912,1912
11954,2016,2016
11980,1960,1960
11982,2000,2000
12062,1992,1992
12081,1968,1968
12124,2000,2000
12145,1948,1948
12156,1964,1964
12163,1928,1928
12198,1908,1908
12210,2008,2008
12225,2012,2016
12228,1992,1992
12239,1968,1968
12246,1956,1956
12248,1920,1920
12265,2000,2000
12269,1960,1960
12286,1920,1928
12305,2016,2016
12311,1900,1900
12339,1992,1996
12348,1936,1936
12349,1936,1936
12399,2012,2016
12403,1948,1948
12420,1960,1960
12448,1912,1912
12451,1928,1928
12461,1968,1968
12507,1996,1996
12516,2016,2016
12529,1936,1936
12581,2008,2008
12592,1996,1996
12606,2008,2008
12623,1960,1964
12638,1988,1988
12640,2004,2008
12645,2000,2004
12664,1976,1976
12715,2008,2008
12721,1996,1996
